action,order_id,side,price,quantity
ADD,1,B,9963,190
ADD,2,S,9988,36
ADD,3,B,10029,23
ADD,4,B,9964,8
ADD,5,S,9989,130
ADD,6,B,10031,51
ADD,7,B,10029,108
ADD,8,S,10035,72
ADD,9,B,9960,195
ADD,10,B,10014,88
ADD,11,S,9987,196
ADD,12,S,9971,98
ADD,13,S,10004,155
ADD,14,S,9965,187
ADD,15,S,9975,97
ADD,16,S,9997,161
CANCEL,12
CANCEL,7
CANCEL,3
CANCEL,2
CANCEL,8
CANCEL,10
CANCEL,3
CANCEL,8
CANCEL,4
CANCEL,13
CANCEL,9
CANCEL,15
CANCEL,12
CANCEL,6
CANCEL,12
CANCEL,12
CANCEL,7
CANCEL,9
CANCEL,3
CANCEL,6
CANCEL,8
CANCEL,6
CANCEL,15
CANCEL,13
CANCEL,9
CANCEL,8
CANCEL,11
CANCEL,2
CANCEL,8
CANCEL,2
CANCEL,11
CANCEL,13
CANCEL,9
CANCEL,3
CANCEL,7
CANCEL,11
CANCEL,7
CANCEL,16
CANCEL,13
CANCEL,15
CANCEL,5
CANCEL,9
CANCEL,5
CANCEL,8
CANCEL,9
CANCEL,14
CANCEL,13
CANCEL,12
CANCEL,8
CANCEL,5
CANCEL,16
CANCEL,3
CANCEL,2
CANCEL,4
CANCEL,5
CANCEL,6
CANCEL,14
CANCEL,3
CANCEL,13
CANCEL,13
CANCEL,15
CANCEL,9
CANCEL,1
CANCEL,4
CANCEL,9
CANCEL,11
CANCEL,4
CANCEL,10
CANCEL,14
CANCEL,6
CANCEL,15
CANCEL,1
CANCEL,9
CANCEL,6
CANCEL,4
CANCEL,10
CANCEL,7
CANCEL,5
CANCEL,12
CANCEL,6
CANCEL,1
CANCEL,11
CANCEL,16
CANCEL,1
CANCEL,4
CANCEL,12
CANCEL,10
CANCEL,8
CANCEL,2
CANCEL,8
CANCEL,3
CANCEL,3
CANCEL,16
CANCEL,3
CANCEL,5
CANCEL,5
CANCEL,16
CANCEL,6
CANCEL,9
CANCEL,14
CANCEL,7
CANCEL,7
CANCEL,10
CANCEL,13
CANCEL,12
CANCEL,15
CANCEL,15
CANCEL,4
CANCEL,8
CANCEL,8
CANCEL,3
CANCEL,11
CANCEL,1
CANCEL,8
CANCEL,8
CANCEL,1
CANCEL,3
CANCEL,2
CANCEL,8
CANCEL,3
CANCEL,2
CANCEL,11
CANCEL,3
CANCEL,8
CANCEL,9
CANCEL,16
CANCEL,7
CANCEL,5
CANCEL,16
CANCEL,8
CANCEL,16
CANCEL,14
CANCEL,7
CANCEL,4
CANCEL,4
CANCEL,14
CANCEL,12
CANCEL,14
CANCEL,14
CANCEL,15
CANCEL,2
CANCEL,4
CANCEL,2
CANCEL,13
CANCEL,11
CANCEL,4
CANCEL,8
CANCEL,7
CANCEL,7
CANCEL,15
CANCEL,5
CANCEL,14
CANCEL,6
CANCEL,9
CANCEL,15
CANCEL,8
CANCEL,3
CANCEL,15
CANCEL,4
CANCEL,2
CANCEL,1
CANCEL,3
CANCEL,8
CANCEL,6
CANCEL,14
CANCEL,16
CANCEL,16
CANCEL,7
CANCEL,13
CANCEL,2
CANCEL,6
CANCEL,13
CANCEL,1
CANCEL,13
CANCEL,9
CANCEL,15
CANCEL,10
CANCEL,14
CANCEL,16
CANCEL,5
CANCEL,7
CANCEL,10
CANCEL,7
CANCEL,2
CANCEL,2
CANCEL,11
CANCEL,2
CANCEL,2
CANCEL,16
CANCEL,6
CANCEL,2
CANCEL,3
CANCEL,6
CANCEL,3
CANCEL,3
CANCEL,8
CANCEL,13
CANCEL,4
CANCEL,8
CANCEL,2
CANCEL,3
CANCEL,14
CANCEL,11
CANCEL,9
CANCEL,7
CANCEL,11
CANCEL,8
CANCEL,9
CANCEL,13
CANCEL,5
CANCEL,10
CANCEL,15
CANCEL,11
CANCEL,3
CANCEL,1
CANCEL,15
CANCEL,4
CANCEL,3
CANCEL,7
CANCEL,9
CANCEL,5
CANCEL,12
CANCEL,3
