numeric__monthly_spend,numeric__sessions_last_30d,numeric__avg_session_minutes,numeric__support_tickets,numeric__account_age_days,categorical__region_midwest,categorical__region_northeast,categorical__region_south,categorical__region_west,categorical__device_type_android,categorical__device_type_ios,categorical__device_type_web,categorical__plan_tier_basic,categorical__plan_tier_business,categorical__plan_tier_pro,categorical__signup_channel_organic,categorical__signup_channel_paid,categorical__signup_channel_partner,categorical__signup_channel_sales,boolean__is_premium,target
1.4473084425490341,-0.27377141733598226,0.8536747788231211,1.6951968105627642,-0.5429749509520582,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0
-0.8652348613598022,1.2103889660621079,-0.08822229236405436,0.7569511667893268,-0.38426835220830724,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
-0.9470012752322252,0.6167248127028718,0.7635802763617389,2.633442454336201,0.5405404701009575,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0
1.6467183702583112,0.3198927360232538,0.6468669436276758,-0.18129447698411044,1.0225382885079048,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0
-0.9773160341168989,-0.8674355706952183,-1.0239765565652263,-1.1195401207575477,0.3289316717759562,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.43079061022350235,-0.27377141733598226,-0.5223139860416219,1.6951968105627642,-0.5370969287763637,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0.6112885782616062,0.3198927360232538,0.8372939601937786,0.7569511667893268,-0.7937705637816893,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0
1.4865229471613184,1.5072210427417259,-1.3700213501100797,-1.1195401207575477,-0.5468936324025212,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
2.556144449775291,-0.8674355706952183,0.18615641967742708,-1.1195401207575477,1.5966251210007323,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
1.5026537362926131,0.6167248127028718,0.2926317407681512,-1.1195401207575477,-1.265971678562479,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
-0.7459226451990214,1.2103889660621079,1.7320961778215953,0.7569511667893268,0.09772946619864005,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
